Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
2002,Indonesia,222088495,195660611165.1834,408.6028859802035,76.74978432396205,44.7,138.7448860152723,0.6539166666666666,0.1748144055531148,0,2.14,324.9389
2003,Indonesia,225048008,234772463823.8083,419.8259777531557,76.97384881369138,43,163.7671813165375,0.5560833333333334,0.1369382210666142,0,0.8,353.623
2004,Indonesia,227926649,256836875295.4519,464.7152953141517,78.52533569846436,41.5,180.4760869830219,0.5976666666666667,0.1395793283007512,0,1.68,360.1513
2005,Indonesia,230871650,285868619196.0848,490.7142128537653,79.407681,41.6,184.3262583118349,0.6848333333333333,0.2290170420635887,0,0.83,362.597
2006,Indonesia,233951652,364570515618.3569,505.8139106450935,79.64180043176312,40.1,189.6275127091357,0.4583333333333333,0.2617022268830656,0,2.54,383.4194
2007,Indonesia,237062337,432216737774.8605,535.3528595307824,79.36813335575005,40,222.9263719921412,0.37175,0.172497886,0,0.66,401.7934
2008,Indonesia,240157903,510228634992.2582,558.9322621625323,78.44579996122415,41.1,234.0220232767439,0.2121666666666666,0.1536683839383438,0,0.37,397.2554
2009,Indonesia,243220028,539580085612.4014,582.7110586468644,80.57869676,38.2,239.6035912032383,0.5765833333333333,0.1838049048734978,0,2.5,411.3491
2010,Indonesia,246305322,755094157621.9355,653.9566367956921,86.42892598997082,36,239.5533931878169,0.6921666666666666,0.2906282944855087,0,0.53,443.682
2011,Indonesia,249470032,892969104563.1713,697.5507182361688,80.44940571730606,32.4,260.8719543994877,0.3335,0.1210230694261773,0,0.93,499.9362
2012,Indonesia,252698525,917869913332.6486,749.7313251036982,80.54683564221247,30.1,324.1051273102163,0.44275,0.144660594,0,1.34,504.2572
2013,Indonesia,255852467,912524136718.0182,793.5002635718186,79.69931735113362,30.6,303.5337469156882,0.7760833333333333,0.223387727,0,0.89,474.9651
2014,Indonesia,258877399,890814755533.5369,836.1409718891683,81.70231145461278,29.3,334.1158710822021,0.7425833333333333,0.2248886607239729,0,2.93,505.0762
2015,Indonesia,261799249,860854232686.2139,857.6495190786434,80.64948814931962,26.6,341.4969900732752,0.8442500000000001,0.3607818188785756,0,3.58,512.3973
2016,Indonesia,264627418,931877364037.6976,907.7177331639914,80.68370565168867,27.8,332.6893895266236,1.372666666666667,0.224068566,0,1.65,507.0965
2017,Indonesia,267346658,1015618744159.734,951.0498537819764,81.01183508520704,25.2,374.4817808052955,0.9155,0.1348545512765513,0,0.82,535.7474
2018,Indonesia,269951846,1042271532988.632,1065.260357582441,80.78167629540512,22,388.9456342382197,0.9343333333333332,0.1437830155322789,0,1.96,596.4692
2019,Indonesia,272489381,1119099871350.199,1107.151401250385,80.82573901076694,19.8,304.3160405055748,1.05875,0.1742340977918311,0,3.98,637.5692
2020,Indonesia,274814866,1059054842698.482,1119.61556,80.87308346379304,21.9,336.1079860112639,1.1905,0.1623604529023822,0,1.23,596.2839
2021,Indonesia,276758053,1186509691086.731,1210.584466714687,80.82683292,20.2,381.2299193110908,1.030583333333333,0.1768245167453377,0,0.9,622.6868
2022,Indonesia,278830529,1319101183380.152,1330.987683920364,80.84188513262723,20.633333333333336,311.0881107996211,0.9409166666666668,0.1525092665672774,0,0.95,722.6996
2023,Indonesia,281190067,1371169301563.622,1445.214634839857,80.84726717324732,20.91111111111111,311.0719886,1.179416666666667,0.2885958703600745,0,5.58,772.5618
1990,Russian Federation,147969406,517014446227.9294,6687.727056226745,93.37899126656777,3.8,,,,222.86,0.05,2436.2695
1991,Russian Federation,148394216,5.17963E+11,6551.299816159951,93.35687992100392,3.8,,,,220.67,0.38,2393.5405
1992,Russian Federation,148538197,460290556900.7264,6113.679971489084,92.56114819858512,4,41.73989455184535,0.5294166666666666,1.569174063976191,236.4,0.04,2205.4651
1993,Russian Federation,148458777,435083713850.8372,5726.451592686904,92.39287516819743,4,29.72872824962559,0.7700833333333333,1.755032215199735,235.11,0.03,2012.9625
1994,Russian Federation,148407912,395077301248.4637,5188.213954522856,92.56321283849846,3.9,11.75810998115588,0.5495833333333334,0.8726275893657169,227.42,0.07,1814.9119
1995,Russian Federation,148375787,395537185734.8544,5101.553395635907,92.28516027632848,3.9,13.72549019607843,2.28175,1.845355346313188,222.83,0.16,1768.5622
1996,Russian Federation,148160129,391724890744.4982,5016.444066406017,92.28398752257536,3.7,12.53729448359043,0.6929166666666666,1.190159825284916,237.97,0.4,1727.1914
1997,Russian Federation,147915361,404928954191.8755,4935.619904953617,92.05140742538806,3.8,12.16010543988201,1.136916666666667,1.666434090022431,223.35,0.05,1607.3811
1998,Russian Federation,147670784,2.70955E+11,4848.027352519507,92.09763804320828,3.6,10.02124758189833,0.1759166666666667,1.382820936728814,234.24,0.91,1613.2209
1999,Russian Federation,147214776,195907128350.9342,4998.825661358885,91.28740238935332,3.8,10.89017803560712,0.5978333333333333,1.484206681100116,226.91,0.39,1660.9112
2000,Russian Federation,146596869,259710142196.9428,5198.405704012683,91.11102053165236,3.5,11.41717722353547,0.9393333333333334,1.648039357000379,225.51,0.36,1681.1521
2001,Russian Federation,145976482,306602070620.5005,5274.363304631495,90.89618296006633,3.6,12.93960923623446,0.93825,1.123445157,226.49,0.44,1684.2768
2002,Russian Federation,145306497,345470494417.8628,5304.415259559935,90.72643378,3.5,11.49290082209533,1.31975,2.078474886585514,227.67,0.45,1675.2947
