country,feature_set,kernel,C,epsilon,gamma,degree,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,poly,0.1,0.001,1,2.0,True,,5,5,0,0.1586177993288632,0.1586177993288632,-0.591369765598812,0.1373979831730418,0.1373979831730418,-0.49616260198755374,3.9196964145922024,-2.9196964145922033,-4.769130414481195
Canada,augmented,poly,10.0,0.001,0.1,2.0,True,,5,5,0,0.15865142235944962,0.15865142235944962,-0.591300597281409,0.13741483711247565,0.13741483711247565,-0.4961276476770128,3.919740460774733,-2.9197404607747326,-4.768796631336892
Canada,augmented,poly,10.0,0.01,auto,2.0,True,,5,5,0,0.1578767806054494,0.1578767806054494,-0.5182115015377734,0.13764243961006764,0.13764243961006764,-0.5043225169720513,4.047830080689357,-3.0478300806893563,-4.854797296437263
Canada,augmented,poly,0.1,0.01,1,2.0,True,,5,5,0,0.1579828213906848,0.1579828213906848,-0.5546771409898963,0.1401569765991525,0.1401569765991525,-0.5107143477892017,3.901398911003946,-2.901398911003946,-4.677818198664471
Canada,augmented,poly,10.0,0.01,0.1,2.0,True,,5,5,0,0.15800346296633064,0.15800346296633064,-0.5546577381949921,0.14018641342471058,0.14018641342471058,-0.5106738454032864,3.901444340476022,-2.901444340476023,-4.680792972118634
Canada,augmented,poly,1.0,0.001,scale,2.0,True,,5,5,0,0.1618361294638737,0.1618361294638737,-0.6917243910318228,0.1429593497397495,0.1429593497397495,-0.5645608895858929,4.179551824974125,-3.1795518249741246,-4.74597349564865
Canada,augmented,poly,1.0,0.01,scale,2.0,True,,5,5,0,0.16044089456840685,0.16044089456840685,-0.6080834841135196,0.144994941372888,0.144994941372888,-0.5372184328398568,3.768277411174489,-2.7682774111744886,-4.666701161847351
Canada,augmented,linear,10.0,0.01,,,True,,5,5,0,0.17358930125583058,0.17358930125583058,-1.1102329891744813,0.14628568344898552,0.14628568344898552,-0.8631750892926064,2.108320680645356,-1.108320680645356,-6.045750089493511
Canada,augmented,linear,10.0,0.001,,,True,,5,5,0,0.17062488585381427,0.17062488585381427,-1.222244064893394,0.1471078602123643,0.1471078602123643,-1.0414407872824656,3.333170482865218,-2.333170482865219,-5.5976186506330565
Canada,augmented,poly,100.0,0.01,auto,2.0,True,,5,5,0,0.173165741031665,0.173165741031665,-0.5716022767105382,0.15573430901930213,0.15573430901930213,-0.5061166316179013,3.7959635447983606,-2.7959635447983606,-6.268896801571244
Canada,augmented,rbf,10.0,0.1,auto,,True,,5,5,0,0.17338238645341394,0.17338238645341394,-1.6391714653456284,0.15597247857163685,0.15597247857163685,-1.6603675671073124,7.481002383525279,-6.481002383525279,-5.431399149101173
Canada,augmented,rbf,100.0,0.1,auto,,True,,5,5,0,0.17338238645341394,0.17338238645341394,-1.6391714653456284,0.15597247857163685,0.15597247857163685,-1.6603675671073124,7.481002383525279,-6.481002383525279,-5.431399149101173
Canada,augmented,rbf,500.0,0.1,auto,,True,,5,5,0,0.17338238645341394,0.17338238645341394,-1.6391714653456284,0.15597247857163685,0.15597247857163685,-1.6603675671073124,7.481002383525279,-6.481002383525279,-5.431399149101173
Canada,augmented,poly,100.0,0.01,0.1,2.0,True,,5,5,0,0.17338690779274496,0.17338690779274496,-0.5730616983344443,0.15603458797028052,0.15603458797028052,-0.5074534674167227,3.80827193987353,-2.80827193987353,-6.347102619857443
Canada,augmented,poly,1.0,0.01,1,2.0,True,,5,5,0,0.17342035896532418,0.17342035896532418,-0.5729740218745545,0.15605833018822568,0.15605833018822568,-0.507386695782656,3.8083586252432617,-2.8083586252432617,-6.34784645673389
Canada,augmented,poly,10.0,0.01,scale,2.0,True,,5,5,0,0.17346748053320488,0.17346748053320488,-0.5714382373371137,0.15613233933650975,0.15613233933650975,-0.506288188923818,3.7939584373622197,-2.79395843736222,-6.383143249399777
Canada,augmented,poly,100.0,0.01,scale,2.0,True,,5,5,0,0.17346748053320488,0.17346748053320488,-0.5714382373371137,0.15613233933650975,0.15613233933650975,-0.506288188923818,3.7939584373622197,-2.79395843736222,-6.383143249399777
Canada,augmented,poly,500.0,0.01,scale,2.0,True,,5,5,0,0.17346748053320488,0.17346748053320488,-0.5714382373371137,0.15613233933650975,0.15613233933650975,-0.506288188923818,3.7939584373622197,-2.79395843736222,-6.383143249399777
Canada,augmented,poly,500.0,0.01,0.1,2.0,True,,5,5,0,0.1734682086222586,0.1734682086222586,-0.5729083437132916,0.15613891951161007,0.15613891951161007,-0.5072566708515388,3.8084761548302213,-2.808476154830221,-6.3755220986102925
Canada,augmented,poly,10.0,0.01,1,2.0,True,,5,5,0,0.17348677684978492,0.17348677684978492,-0.5728487403790251,0.15614354343716777,0.15614354343716777,-0.5072259613155308,3.8085254187145403,-2.8085254187145408,-6.371057018965402
Canada,augmented,poly,100.0,0.01,1,2.0,True,,5,5,0,0.17348677684978492,0.17348677684978492,-0.5728487403790251,0.15614354343716777,0.15614354343716777,-0.5072259613155308,3.8085254187145403,-2.8085254187145408,-6.371057018965402
Canada,augmented,poly,500.0,0.01,1,2.0,True,,5,5,0,0.17348677684978492,0.17348677684978492,-0.5728487403790251,0.15614354343716777,0.15614354343716777,-0.5072259613155308,3.8085254187145403,-2.8085254187145408,-6.371057018965402
Canada,augmented,poly,500.0,0.01,auto,2.0,True,,5,5,0,0.17349264571776937,0.17349264571776937,-0.57098564900095,0.15616637191009422,0.15616637191009422,-0.5053016480398985,3.796809249782745,-2.7968092497827444,-6.3826256708852895
Canada,augmented,rbf,10.0,0.1,0.1,,True,,5,5,0,0.17682038814024442,0.17682038814024442,-1.678888930964752,0.15848070796924124,0.15848070796924124,-1.7026864998010942,7.639048878713801,-6.639048878713801,-5.602473614940838
Canada,augmented,rbf,100.0,0.1,0.1,,True,,5,5,0,0.17682038814024442,0.17682038814024442,-1.678888930964752,0.15848070796924124,0.15848070796924124,-1.7026864998010942,7.639048878713801,-6.639048878713801,-5.602473614940838
Canada,augmented,rbf,500.0,0.1,0.1,,True,,5,5,0,0.17682038814024442,0.17682038814024442,-1.678888930964752,0.15848070796924124,0.15848070796924124,-1.7026864998010942,7.639048878713801,-6.639048878713801,-5.602473614940838
Canada,augmented,linear,500.0,0.01,,,True,,5,5,0,0.19334589857243983,0.19334589857243983,-1.045793444856289,0.16139916219170797,0.16139916219170797,-0.8148714230420966,2.1725454850477144,-1.1725454850477148,-5.753267824578682
