country,feature_set,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,random_state,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,150,10,0.1,0.8,0.8,0.0,0.1,1,42,True,,5,5,0,0.1777780402749762,0.1777780402749762,-2.1863951184233126,0.16044355528687163,0.16044355528687163,-2.194967681308871,8.113918995610415,-7.113918995610416,-6.188191110199443
Canada,augmented,100,10,0.1,0.8,1.0,0.0,0.0,3,42,True,,5,5,0,0.1785902832374067,0.1785902832374067,-2.178161794170019,0.16052675515449483,0.16052675515449483,-2.0906412879388716,6.444540800095508,-5.444540800095509,-4.306258137628484
Canada,augmented,100,10,0.1,0.8,0.8,0.0,0.1,1,42,True,,5,5,0,0.17788772527786828,0.17788772527786828,-2.1857054074166107,0.16056850189601107,0.16056850189601107,-2.194319955434814,8.115989982137771,-7.115989982137771,-6.203527427150954
Canada,augmented,100,10,0.05,1.0,1.0,1.0,0.1,1,42,True,,5,5,0,0.1806564543499435,0.1806564543499435,-2.1397483294521007,0.1607327376361407,0.1607327376361407,-2.144111135686923,8.666354674612258,-7.666354674612258,-4.873956249088292
Canada,augmented,50,10,0.1,1.0,1.0,1.0,0.0,3,42,True,,5,5,0,0.1750690231747579,0.1750690231747579,-2.2381712804693294,0.1610127934816275,0.1610127934816275,-2.1799215219589962,7.573232700046232,-6.573232700046232,-3.00240895686046
Canada,augmented,150,10,0.1,1.0,1.0,0.0,0.1,3,42,True,,5,5,0,0.1760327594648528,0.1760327594648528,-2.333607638634011,0.16114514755112866,0.16114514755112866,-2.295075510756744,8.180569031700022,-7.180569031700022,-3.0625762780577928
Canada,augmented,50,10,0.1,1.0,1.0,1.0,0.1,1,42,True,,5,5,0,0.18295247220791727,0.18295247220791727,-2.132106679271386,0.161299319645337,0.161299319645337,-2.139009768605476,8.631565389883377,-7.631565389883377,-6.36065755690436
Canada,augmented,100,10,0.1,1.0,1.0,5.0,0.1,1,42,True,,5,5,0,0.18165594309946653,0.18165594309946653,-2.221975602869251,0.1616453518028773,0.1616453518028773,-2.2276481636632353,8.853263787165845,-7.8532637871658455,-5.484024206662007
Canada,augmented,100,10,0.1,1.0,1.0,0.0,0.1,3,42,True,,5,5,0,0.17667859623157214,0.17667859623157214,-2.3369588652373143,0.16180360602242688,0.16180360602242688,-2.299361892676086,8.221138592318699,-7.2211385923187,-3.1102398989328455
Canada,augmented,150,10,0.05,0.8,1.0,1.0,0.1,1,42,True,,5,5,0,0.18134698153242032,0.18134698153242032,-2.0687768781018594,0.16188435038579443,0.16188435038579443,-2.0713240999161284,8.365785756687234,-7.365785756687235,-6.430567691708484
Canada,augmented,100,10,0.1,0.8,0.8,5.0,0.0,1,42,True,,5,5,0,0.17857149915161014,0.17857149915161014,-2.000886105317848,0.16238411633325556,0.16238411633325556,-2.0082352750505335,7.507924139305895,-6.507924139305895,-6.358657456112953
Canada,augmented,100,10,0.05,1.0,1.0,1.0,0.0,3,42,True,,5,5,0,0.17648160447834366,0.17648160447834366,-2.2339551025056674,0.16245941800093094,0.16245941800093094,-2.1782489297408825,7.6373134379653225,-6.6373134379653225,-3.2249111004281596
Canada,augmented,150,10,0.1,0.8,0.8,1.0,0.0,3,42,True,,5,5,0,0.1734521693263328,0.1734521693263328,-2.3185960565099073,0.16254135604044237,0.16254135604044237,-2.1903118903532075,5.714929363724195,-4.714929363724195,-3.856431866043917
Canada,augmented,100,10,0.1,0.8,0.8,0.0,0.0,3,42,True,,5,5,0,0.17750240474113482,0.17750240474113482,-2.37471999374758,0.16300365390283802,0.16300365390283802,-2.268907115088191,6.0857942961405165,-5.0857942961405165,-4.319230033524508
Canada,augmented,150,10,0.1,1.0,0.8,1.0,0.1,1,42,True,,5,5,0,0.18218070610647413,0.18218070610647413,-2.2545657659331626,0.16378253894184752,0.16378253894184752,-2.2539877185031005,8.134130997848915,-7.134130997848915,-5.8520856195965845
Canada,augmented,150,10,0.1,0.8,1.0,10.0,0.0,1,42,True,,5,5,0,0.18254911176882946,0.18254911176882946,-1.9488238911429157,0.16378332698745468,0.16378332698745468,-1.9532566884285831,7.940106978690738,-6.940106978690738,-6.128702580282304
Canada,augmented,100,10,0.1,1.0,0.8,1.0,0.1,1,42,True,,5,5,0,0.1830982978911147,0.1830982978911147,-2.2564936631326376,0.1642630339625947,0.1642630339625947,-2.2569486811954755,8.14306046465643,-7.143060464656431,-5.956462519704694
Canada,augmented,150,10,0.05,1.0,1.0,0.0,0.1,3,42,True,,5,5,0,0.17836807703724053,0.17836807703724053,-2.354120209228717,0.1642825455966387,0.1642825455966387,-2.31862798135917,8.400378936506721,-7.400378936506721,-3.3012244197063523
