country,feature_set,n_steps,n_blocks,function,solver,alpha,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,1,2,hyperbolic,lsqr,0.0,True,,5,5,0,0.4266506697646689,0.4266506697646689,-1.420988553411023,0.3308690470898196,0.3308690470898196,-1.4575897894608318,12.942798767445463,-11.942798767445463,-68.26206069850166
Canada,augmented,1,2,hyperbolic,svd,0.0,True,,5,5,0,0.42964384299939307,0.42964384299939307,-1.4153432159993664,0.33263480805396684,0.33263480805396684,-1.4542597543399256,12.946159672408765,-11.946159672408768,-72.24092824420424
Canada,augmented,1,1,hyperbolic,lsqr,0.01,True,,5,5,0,0.3997386603896967,0.3997386603896967,-3.3161912862694116,0.34088169201723933,0.34088169201723933,-3.2893213276618085,11.977465507673617,-10.977465507673617,-28.643742825897327
Canada,augmented,1,1,hyperbolic,cholesky,0.01,True,,5,5,0,0.3997581302562737,0.3997581302562737,-3.3161670657180395,0.3408948616756633,0.3408948616756633,-3.2893076948671713,11.977464063839948,-10.977464063839948,-28.64848389818335
Canada,augmented,1,1,hyperbolic,svd,0.01,True,,5,5,0,0.39975813025627305,0.39975813025627305,-3.316167065718043,0.3408948616756635,0.3408948616756635,-3.2893076948671727,11.977464063839982,-10.977464063839982,-28.64848389818301
Canada,augmented,1,3,hyperbolic,lsqr,0.001,True,,5,5,0,0.42870398560991446,0.42870398560991446,-1.5780465341570413,0.3447885300464151,0.3447885300464151,-1.2146208034923558,2.5246302413323063,-1.5246302413323067,-35.78499510627263
Canada,augmented,1,3,hyperbolic,cholesky,0.001,True,,5,5,0,0.42870399601563625,0.42870399601563625,-1.5780465146933862,0.3447885447819821,0.3447885447819821,-1.214620776200557,2.5246302697861926,-1.5246302697861924,-35.78500078483701
Canada,augmented,1,3,hyperbolic,svd,0.001,True,,5,5,0,0.4287039960156388,0.4287039960156388,-1.5780465146933813,0.34478854478199283,0.34478854478199283,-1.2146207762005383,2.524630269786223,-1.5246302697862228,-35.78500078483755
Canada,augmented,1,1,hyperbolic,svd,0.001,True,,5,5,0,0.44100025219674566,0.44100025219674566,-2.312244643517034,0.3464898625695808,0.3464898625695808,-1.9556544951616641,14.088838566384174,-13.088838566384174,-34.591642154312936
Canada,augmented,1,1,hyperbolic,cholesky,0.001,True,,5,5,0,0.44100025219674643,0.44100025219674643,-2.3122446435170287,0.3464898625695811,0.3464898625695811,-1.9556544951616623,14.088838566384092,-13.088838566384092,-34.59164215431362
Canada,augmented,1,1,hyperbolic,lsqr,0.001,True,,5,5,0,0.4410039141780091,0.4410039141780091,-2.3122317417314604,0.346512982662556,0.346512982662556,-1.9555780495419868,14.088933986604363,-13.088933986604363,-34.59176945889231
Canada,augmented,1,3,hyperbolic,cholesky,0.0001,True,,5,5,0,0.41387784829761437,0.41387784829761437,-1.5294381237719121,0.35848122390148346,0.35848122390148346,-1.1496240546401337,3.1025819371811663,-2.102581937181166,-19.838236798964605
Canada,augmented,1,3,hyperbolic,svd,0.0001,True,,5,5,0,0.4138778482976189,0.4138778482976189,-1.529438123771897,0.3584812239014882,0.3584812239014882,-1.149624054640118,3.1025819371811947,-2.1025819371811947,-19.838236798964676
Canada,augmented,1,3,hyperbolic,lsqr,0.0001,True,,5,5,0,0.4138783314690168,0.4138783314690168,-1.5294371231950346,0.3584815644636821,0.3584815644636821,-1.14962331880672,3.1025830349723686,-2.1025830349723686,-19.838398274828627
Canada,augmented,1,1,hyperbolic,cholesky,0.0001,True,,5,5,0,0.45881475089986656,0.45881475089986656,-2.1279723397022234,0.35937983897317954,0.35937983897317954,-1.6779133631019956,14.892663332445366,-13.892663332445366,-38.11246992332413
Canada,augmented,1,1,hyperbolic,svd,0.0001,True,,5,5,0,0.45881475089988355,0.45881475089988355,-2.1279723397021817,0.3593798389732036,0.3593798389732036,-1.6779133631019256,14.89266333244536,-13.89266333244536,-38.11246992332481
Canada,augmented,1,1,hyperbolic,lsqr,0.0001,True,,5,5,0,0.45881480815618786,0.45881480815618786,-2.127972169702889,0.3593802319140848,0.3593802319140848,-1.6779126239046729,14.892663820702111,-13.892663820702111,-38.1124704725506
Canada,augmented,1,1,hyperbolic,lsqr,0.0,True,,5,5,0,0.47761755960942864,0.47761755960942864,-2.080407601216449,0.3827514917685941,0.3827514917685941,-1.6735958030456732,15.069992592473321,-14.069992592473321,-39.256930374295
Canada,augmented,1,1,hyperbolic,svd,0.0,True,,5,5,0,0.4776190358240324,0.4776190358240324,-2.080397845091877,0.3827520645780783,0.3827520645780783,-1.673579514756602,15.070003192361378,-14.070003192361378,-39.25699154855598
Canada,augmented,1,1,hyperbolic,cholesky,0.0,True,,5,5,0,0.4975307794692608,0.4975307794692608,-2.0186615905913143,0.40207534612728624,0.40207534612728624,-1.6136677838322417,15.13266942748337,-14.13266942748337,-40.18171784778541
Canada,augmented,1,3,hyperbolic,lsqr,0.0,True,,5,5,0,0.5326422879514876,0.5326422879514876,-1.3219251216996957,0.42932124135915506,0.42932124135915506,-1.0289643947079972,3.228372112094424,-2.2283721120944247,-39.03935787905589
Canada,augmented,1,3,hyperbolic,svd,0.0,True,,5,5,0,0.532656100548341,0.532656100548341,-1.3218990693542703,0.4293439180384069,0.4293439180384069,-1.0289216235090854,3.228416239782939,-2.2284162397829395,-39.04314044029844
Canada,augmented,1,3,hyperbolic,cholesky,0.0,True,,5,5,0,0.5326561005483869,0.5326561005483869,-1.3218990693541515,0.42934391803844607,0.42934391803844607,-1.028921623508988,3.2284162397830487,-2.2284162397830483,-39.04314044030623
Canada,baseline,1,3,hyperbolic,lsqr,0.01,True,,5,5,0,0.1396703199451127,0.1396703199451127,-1.1593374838957964,0.12243323788717883,0.12243323788717883,-0.9024758908361917,1.8526882022352118,-0.8526882022352116,-1.0667546334120361
Canada,baseline,1,3,hyperbolic,cholesky,0.01,True,,5,5,0,0.13968740610717173,0.13968740610717173,-1.1592970705592696,0.12244299498619027,0.12244299498619027,-0.9024496132291956,1.8527050606665827,-0.8527050606665826,-1.0675524966770635
Canada,baseline,1,3,hyperbolic,svd,0.01,True,,5,5,0,0.139687406107172,0.139687406107172,-1.1592970705592682,0.12244299498619057,0.12244299498619057,-0.9024496132291933,1.8527050606665818,-0.8527050606665817,-1.0675524966770849
Canada,baseline,1,5,hyperbolic,lsqr,0.1,True,,5,5,0,0.15233382100305337,0.15233382100305337,-1.0727292216951612,0.12346797582962425,0.12346797582962425,-1.0653074904598607,4.283916124001635,-3.2839161240016352,-3.444746430071136
Canada,baseline,1,5,hyperbolic,svd,0.1,True,,5,5,0,0.15233381120584952,0.15233381120584952,-1.0727291649439787,0.12346846371301197,0.12346846371301197,-1.0653061791232825,4.283917545034834,-3.2839175450348335,-3.4447265757642946
Canada,baseline,1,5,hyperbolic,cholesky,0.1,True,,5,5,0,0.15233381120584952,0.15233381120584952,-1.0727291649439787,0.12346846371301204,0.12346846371301204,-1.0653061791232825,4.283917545034834,-3.2839175450348335,-3.4447265757642924
Canada,baseline,1,3,hyperbolic,cholesky,0.1,True,,5,5,0,0.15382744205008397,0.15382744205008397,-1.7908974540934455,0.13277496037023243,0.13277496037023243,-1.7586715045817556,6.038366577597546,-5.038366577597546,-1.3563375540669007
Canada,baseline,1,3,hyperbolic,svd,0.1,True,,5,5,0,0.15382744205008403,0.15382744205008403,-1.7908974540934455,0.1327749603702325,0.1327749603702325,-1.7586715045817556,6.038366577597547,-5.0383665775975475,-1.3563375540669071
Canada,baseline,1,3,hyperbolic,lsqr,0.1,True,,5,5,0,0.1538306300194843,0.1538306300194843,-1.7909032596456846,0.13277756306592323,0.13277756306592323,-1.758674762623702,6.038374353441361,-5.038374353441361,-1.3565190135079437
Canada,baseline,1,4,hyperbolic,lsqr,0.1,True,,5,5,0,0.15473211404930018,0.15473211404930018,-1.3178329523324241,0.13280081723299283,0.13280081723299283,-1.2656148276869068,5.976426505458396,-4.976426505458396,-2.4108893341503412
Canada,baseline,1,4,hyperbolic,cholesky,0.1,True,,5,5,0,0.15473895813108474,0.15473895813108474,-1.3178196095864207,0.13280648415056678,0.13280648415056678,-1.2656034468036244,5.976436893641352,-4.976436893641352,-2.4121728112330896
Canada,baseline,1,4,hyperbolic,svd,0.1,True,,5,5,0,0.15473895813108476,0.15473895813108476,-1.3178196095864205,0.1328064841505668,0.1328064841505668,-1.2656034468036241,5.976436893641352,-4.976436893641352,-2.412172811233091
Canada,baseline,1,4,hyperbolic,cholesky,0.01,True,,5,5,0,0.16583401872438713,0.16583401872438713,-0.9766209817354234,0.14021955761413193,0.14021955761413193,-0.9137393432034313,2.678630569475083,-1.6786305694750834,-5.019580970473497
Canada,baseline,1,4,hyperbolic,svd,0.01,True,,5,5,0,0.16583401872438747,0.16583401872438747,-0.9766209817354229,0.14021955761413285,0.14021955761413285,-0.9137393432034289,2.678630569475081,-1.678630569475081,-5.0195809704734895
Canada,baseline,1,4,hyperbolic,lsqr,0.01,True,,5,5,0,0.1658502913909296,0.1658502913909296,-0.9765880755557286,0.14023310759411825,0.14023310759411825,-0.9137124673499158,2.678658467439547,-1.678658467439547,-5.029949381982396
Canada,baseline,1,5,hyperbolic,svd,0.01,True,,5,5,0,0.16762750746349814,0.16762750746349814,-1.0270695005924997,0.14515435186208867,0.14515435186208867,-1.0001046442535446,4.350403411772044,-3.3504034117720436,-4.28895893615838
Canada,baseline,1,5,hyperbolic,cholesky,0.01,True,,5,5,0,0.1676275074634983,0.1676275074634983,-1.0270695005924992,0.14515435186208883,0.14515435186208883,-1.0001046442535442,4.350403411772043,-3.350403411772043,-4.2889589361584
Canada,baseline,1,5,hyperbolic,lsqr,0.01,True,,5,5,0,0.1676282059776394,0.1676282059776394,-1.0270692083015167,0.1451569529320388,0.1451569529320388,-1.0001004755659026,4.350408570566278,-3.3504085705662776,-4.289588170003906
Canada,baseline,1,2,hyperbolic,cholesky,0.1,True,,5,5,0,0.20702487948689444,0.20702487948689444,-2.21743609065446,0.1788558891570384,0.1788558891570384,-2.2322297668631252,8.501796740746974,-7.501796740746974,-4.369027263703904
