country,feature_set,p,d,q,trend,seasonal_order,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,baseline,1,1,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.20344972320398358,0.20344972320398358,-1.8164569958601866,0.16680976191655617,0.16680976191655617,-1.4141188694170646,8.30666318555272,-7.30666318555272,-4.181021427541865
Canada,baseline,1,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.19836790991544276,0.19836790991544276,-1.829751692463867,0.1668666232008063,0.1668666232008063,-1.4476433872007424,6.249034258543582,-5.249034258543582,-3.3092175034696245
Canada,baseline,3,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.19406618892974226,0.19406618892974226,-2.3055358223900346,0.1671976672783882,0.1671976672783882,-1.8679535582325761,5.581748999300156,-4.581748999300156,-4.881979463977922
Canada,baseline,3,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.20257070772396485,0.20257070772396485,-2.1671332131752306,0.167225041138758,0.167225041138758,-1.712545186540399,4.815067521370684,-3.815067521370685,-4.313429973611849
Canada,baseline,1,0,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.18042822220432655,0.18042822220432655,-1.2741816803882187,0.16980961483668094,0.16980961483668094,-1.2122733681383058,7.856630599784022,-6.856630599784022,-5.704566748420382
Canada,baseline,0,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.19133462970085624,0.19133462970085624,-1.9753263229855893,0.16989997475551805,0.16989997475551805,-1.6508404007755946,7.485095455431116,-6.485095455431116,-2.946321080380721
Canada,baseline,1,0,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.20497561093563826,0.20497561093563826,-0.6177111743750286,0.17006209242572695,0.17006209242572695,-0.4663914465006961,8.161720803477445,-7.161720803477445,-17.042108403431005
Canada,baseline,0,1,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.21138430726290328,0.21138430726290328,-2.2546792740199195,0.1707338299609642,0.1707338299609642,-1.8882969688288078,4.8296031166105315,-3.8296031166105315,-3.8891905844036905
Canada,baseline,3,0,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.21177131019384537,0.21177131019384537,-0.8969420891659621,0.17243270224217983,0.17243270224217983,-0.8922185550077126,7.562905376812459,-6.562905376812461,-11.964410510391442
Canada,baseline,1,0,3,n,"(0, 0, 0, 0)",True,,5,5,0,0.19423362446197337,0.19423362446197337,-1.3085937775935972,0.17369423780246374,0.17369423780246374,-1.297500459126532,7.905246055950417,-6.905246055950417,-9.770770642605271
Canada,baseline,0,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.20560758922208144,0.20560758922208144,-1.805185900183228,0.17419796386111547,0.17419796386111547,-1.2678635566045118,8.87743271855545,-7.877432718555451,-4.35370819361884
Canada,baseline,1,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.21804295015113156,0.21804295015113156,-2.315284852654607,0.17609541445688195,0.17609541445688195,-1.740093642268521,9.48978875659484,-8.48978875659484,-5.465047972726049
Canada,baseline,3,0,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.19178523687356674,0.19178523687356674,-1.4605063216379837,0.17698251131437487,0.17698251131437487,-1.2879025476984023,7.679952490070657,-6.679952490070657,-3.6805126257660854
Canada,baseline,3,1,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.2171470591750432,0.2171470591750432,-1.9463850484965808,0.17906349649372136,0.17906349649372136,-1.5708604965467905,7.489100038440124,-6.489100038440124,-4.824956560308581
Canada,baseline,0,1,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.1974371328418124,0.1974371328418124,-2.1749764341907953,0.17936367351706778,0.17936367351706778,-2.033691872576023,8.244891196859971,-7.244891196859972,-4.741000195697265
Canada,baseline,3,1,3,n,"(0, 0, 0, 0)",True,,5,5,0,0.2181925598858189,0.2181925598858189,-1.8618490560389822,0.18297934767133012,0.18297934767133012,-1.4496754284636348,4.2544717989549925,-3.2544717989549925,-5.20435960783135
Canada,baseline,0,1,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.22555148084313795,0.22555148084313795,-1.8829900181325172,0.18785888975740822,0.18785888975740822,-1.5197899776734143,8.498075187051505,-7.498075187051505,-4.781243805139694
Canada,baseline,1,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.2143854091301685,0.2143854091301685,-1.0509026276497369,0.187948769761123,0.187948769761123,-0.7830726800256159,9.97868311787534,-8.97868311787534,-27.908754340427926
Canada,baseline,3,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.21964626222308578,0.21964626222308578,-2.857638395039314,0.19012353870754808,0.19012353870754808,-2.28846726975642,5.500725869382844,-4.500725869382845,-4.491462486293737
Canada,baseline,2,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.24390735992143142,0.24390735992143142,-2.100048425060782,0.1914719089657729,0.1914719089657729,-1.563660814502769,20.536828123667515,-19.536828123667515,-10.854350003141098
Canada,baseline,1,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.22013969587753235,0.22013969587753235,-2.121470873196229,0.192988632569821,0.192988632569821,-2.024929473919393,9.004031719931977,-8.004031719931977,-4.718653809249561
Canada,baseline,1,1,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.22958197919100964,0.22958197919100964,-1.8994217937005473,0.19322267462442697,0.19322267462442697,-1.5314343855488157,8.72013133429078,-7.720131334290781,-4.86746597077256
Canada,baseline,3,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.2221241951426828,0.2221241951426828,-0.9630800682799311,0.19506244551038382,0.19506244551038382,-0.9587226377302436,7.582833741046254,-6.582833741046254,-17.935126172394853
Canada,baseline,3,1,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.2327832171747485,0.2327832171747485,-2.6537763246253254,0.19697966390906457,0.19697966390906457,-2.189540575491378,5.612089338717832,-4.612089338717832,-5.44112074482314
Canada,baseline,3,0,3,n,"(0, 0, 0, 0)",True,,5,5,0,0.22609299498040608,0.22609299498040608,-1.1096237936739404,0.19828662236350408,0.19828662236350408,-1.094802080172495,7.6043571328151724,-6.6043571328151724,-14.146307545084877
